# Cumulative Title List — All Titles and Unlock Conditions

This page lists all the Titles currently available in Phantasy Star Online 2: New Genesis, in one sortable table. Users should use this page with their browser's built-in search function to search for specific keywords, or by sorting the table alphabetically by Title Name.
Cumulative Title List
Player Titles | Enemy Titles | Item Titles | Quest Titles | Task Titles | Communication Titles | Map Titles | Limited-Time Titles
Page | Category | Title Task | Requirements | Title Name | Title Points | Star Gems | Other Reward
Player | Total Titles | Title Starter | Play PSO2:NGS. | "Newbie" "of" "ARKS Defender" | 5 | 5 | -
Player | Total Titles | Title Collector I | Acquire 50 titles. | "Meteorn" | 5 | 5 | -
Player | Total Titles | Title Collector II | Acquire 100 titles. | "Descended" | 5 | 5 | -
Player | Total Titles | Title Collector III | Acquire 150 titles. | "Rumor" | 10 | 5 | -
Player | Total Titles | Title Collector IV | Acquire 200 titles. | "Hot Topic" | 10 | 10 | -
Player | Total Titles | Title Collector V | Acquire 250 titles. | "Up-and-Comer" | 10 | 10 | -
Player | Total Titles | Title Collector VI | Acquire 300 titles. | "Famous" | 20 | 20 | -
Player | Total Titles | Title Collector VII | Acquire 350 titles. | "Collector" | 20 | 20 | -
Player | Total Titles | Title Collector VIII | Acquire 400 titles. | "Mania" | 20 | 20 | -
Player | Total Titles | Title Collector IX | Acquire 450 titles. | "Enthusiast" | 20 | 20 | -
Player | Total Titles | Title Collector X | Acquire 500 titles. | "Avaricious" | 20 | 20 | -
Player | Total Titles | Title Enthusiast | Acquire 750 titles. | "Abundant" | 20 | 20 | -
Player | Hunter | Professional Hunter I | Reach Hunter Level 20. | "Hunter" | 5 | 5 | -
Player | Hunter | Professional Hunter II | Reach Hunter Level 35. | "Pursuer" | 5 | 5 | -
Player | Hunter | Professional Hunter III | Reach Hunter Level 40. | "Melee" | 5 | 5 | -
Player | Hunter | Professional Hunter IV | Reach Hunter Level 45. | "Tenacious" | 5 | 5 | -
Player | Hunter | Professional Hunter V | Reach Hunter Level 60. | "On the Hunt" | 5 | 5 | -
Player | Hunter | Professional Hunter VI | Reach Hunter Level 70. | "Kill" | 5 | 5 | -
Player | Hunter | Professional Hunter VII | Reach Hunter Level 80. | "Large Sword" | 5 | 5 | -
Player | Hunter | Professional Hunter VIII | Reach Hunter Level 100. | "Blademaster" | 5 | 10 | -
Player | Hunter | Road to Mastery: Hunter I | Reach Hunter Level 30. | "Strength" | 5 | 0 | N-HU-EX-Cube x1
Player | Hunter | Road to Mastery: Hunter II | Reach Hunter Level 50. | "True Strength" | 5 | 0 | N-HU-EX-Cube x1
Player | Ranger | Professional Ranger I | Reach Ranger Level 20. | "Ranger" | 5 | 5 | -
Player | Ranger | Professional Ranger II | Reach Ranger Level 35. | "Sniper" | 5 | 5 | -
Player | Ranger | Professional Ranger III | Reach Ranger Level 40. | "Ranged" | 5 | 5 | -
Player | Ranger | Professional Ranger IV | Reach Ranger Level 45. | "Soft Spot" | 5 | 5 | -
Player | Ranger | Professional Ranger V | Reach Ranger Level 60. | "Raid" | 5 | 5 | -
Player | Ranger | Professional Ranger VI | Reach Ranger Level 70. | "Pierce" | 5 | 5 | -
Player | Ranger | Professional Ranger VII | Reach Ranger Level 80. | "Long Gun" | 5 | 5 | -
Player | Ranger | Professional Ranger VIII | Reach Ranger Level 80. | "Flashbang" | 5 | 10 | -
Player | Ranger | Road to Mastery: Ranger I | Reach Ranger Level 30. | "One Point" | 5 | 0 | N-RA-EX-Cube x1
Player | Ranger | Road to Mastery: Ranger II | Reach Ranger Level 50. | "Concentrate" | 5 | 0 | N-RA-EX-Cube x1
Player | Force | Professional Force I | Reach Force Level 20. | "Force" | 5 | 5 | -
Player | Force | Professional Force II | Reach Force Level 35. | "Technician" | 5 | 5 | -
Player | Force | Professional Force III | Reach Force Level 40. | "Technique" | 5 | 5 | -
Player | Force | Professional Force IV | Reach Force Level 45. | "Affinity" | 5 | 5 | -
Player | Force | Professional Force V | Reach Force Level 60. | "Invoke" | 5 | 5 | -
Player | Force | Professional Force VI | Reach Force Level 70. | "Chanting" | 5 | 5 | -
Player | Force | Professional Force VII | Reach Force Level 80. | "Long Cane" | 5 | 5 | -
Player | Force | Professional Force VIII | Reach Force Level 100. | "Wizardry" | 5 | 10 | -
Player | Force | Road to Mastery: Force I | Reach Force Level 30. | "Skills" | 5 | 0 | N-FO-EX-Cube x1
