# Materials — Crafting and Enhancement Resources (Part 4)

== Meat ==
Rarity | Icon | Image | Name | Obtainment | Notes
Crisp Aelio Meat | Drop from Dian Drop from Otarica | Meat found in Aelio. Increases potency/Increases weak point damage. Used to make Quick Food .
Light Aelio Meat | Drop from Birdoth Drop from Frango Drop from Patt | Meat found in Aelio. Increases potency/Increases PP recovery. Used to make Quick Food .
Rich Aelio Meat | Drop from Moony Drop from Sunny Drop from Voks | Meat found in Aelio. Increases potency/Reduces PP consumption. Used to make Quick Food .
Robust Aelio Meat | Drop from Moo Bell Drop from Noxxi Drop from Tau Bell | Meat found in Aelio. Increases potency/Increases HP recovery. Used to make Quick Food .
Crisp Retem Meat | Drop from Camelia Drop from Camelio Drop from Lamur Otarica | Meat found in Retem. Increases potency/Increases weak point damage. Used to make Quick Food .
Light Retem Meat | Drop from Lamur Birdoth Drop from Lamur Patt Drop from Lamur Patti | Meat found in Retem. Increases potency/Increases PP recovery. Used to make Quick Food .
Rich Retem Meat | Drop from Lamur Sunny Drop from Lamur Voks | Meat found in Retem. Increases potency/Reduces PP consumption. Used to make Quick Food .
Robust Retem Meat | Drop from Lamur Noxxi Drop from Pippoko Drop from Pippotam | Meat found in Retem. Increases potency/Increases HP recovery. Used to make Quick Food .
Crisp Kvaris Meat | Drop from Lumi Otarica Drop from Poloro | Meat found in Kvaris. Increases potency/Increases weak point damage/Reduces Cold Damage. Used to make Quick Food .
Light Kvaris Meat | Drop from Lumi Birdoth Drop from Lumi Patt | Meat found in Kvaris. Increases potency/Increases PP recovery/Reduces Cold Damage. Used to make Quick Food .
Rich Kvaris Meat | Drop from Lumi Sunny Drop from Lumi Voks | Meat found in Kvaris. Increases potency/Reduces PP consumption/Reduces Cold Damage. Used to make Quick Food .
Robust Kvaris Meat | Drop from Comanta Drop from Lumi Birdoth Drop from Lumi Otarica Drop from Lumi Patt Drop from Lumi Sunny Drop from Poloro | Meat found in Kvaris. Increases potency/Increases HP recovery/Reduces Cold Damage. Used to make Quick Food .
Crisp Stia Meat | Drop from Flamm Voks | Meat found in Stia. Increases potency/Increases weak point damage. Used to make Quick Food .
Light Stia Meat | Drop from Flamm Birdoth Drop from Flamm Patt | Meat found in Stia. Increases potency/Increases PP recovery. Used to make Quick Food .
Rich Stia Meat | Drop from Flamm Comanta Drop from Flamm Otarica | Meat found in Stia. Increases potency/Reduces PP consumption. Used to make Quick Food .
Robust Stia Meat | Drop from Flamm Poloro Drop from Flamm Sunny | Meat found in Stia. Increases potency/Increases HP recovery. Used to make Quick Food .
Notable Kvaris Meat | Drop from Comanta Drop from DOLLS Transport Heist Trials | A rare meat found in Kvaris. Can be exchanged for items in certain places . The Quick Food effect is the same as Robust Kvaris Meat. Used to make Quick Food .

== Seafood ==
Rarity | Icon | Image | Name | Obtainment | Notes
Crisp Aelio Crab | Found in Central Aelio | Seafound found in Aelio. Increases HP/Increases weak point damage. Used to make Quick Food .
Light Aelio Turban Shell | Found in West Aelio | Seafound found in Aelio. Increases HP/Increases PP recovery. Used to make Quick Food .
Rich Aelio Clam | Found in South Aelio | Seafound found in Aelio. Increases HP/Reduces PP consumption. Used to make Quick Food .
Robust Aelio Lobster | Found in North Aelio | Seafound found in Aelio. Increases HP/Increases HP recovery. Used to make Quick Food .
Crisp Retem Sea Urchin | Found in Rwh Maqead | Seafound found in Retem. Increases HP/Increases weak point damage. Used to make Quick Food .
Light Retem Sea Slug | Found in North Retem | Seafound found in Retem. Increases HP/Increases PP recovery. Used to make Quick Food .
Rich Retem Scallop | Found in West Retem | Seafound found in Retem. Increases HP/Reduces PP consumption. Used to make Quick Food .
Robust Retem Hermit Crab | Found in Central Retem Found in South Retem | Seafound found in Aelio. Increases HP/Increases HP recovery. Used to make Quick Food .
Rich Kvaris Snail | Found in West Kvaris | Seafound found in Kvaris. Increases HP/Reduces PP consumption/Reduces Cold Damage. Used to make Quick Food .
Crisp Kvaris Squid | Found in Central Kvaris | Seafound found in Kvaris. Increases HP/Increases weak point damage/Reduces Cold Damage. Used to make Quick Food .
Light Kvaris Octopus | Found in North Kvaris | Seafound found in Kvaris. Increases HP/Increases PP recovery/Reduces Cold Damage. Used to make Quick Food .
Robust Kvaris Crayfish | Found in South Kvaris | Seafound found in Kvaris. Increases HP/Increases HP recovery/Reduces Cold Damage. Used to make Quick Food .
Crisp Stia Octopus | Found in Stia Outskirts | Seafound found in Stia. Increases HP/Increases weak point damage. Used to make Quick Food .
Light Stia Sea Slug | Found in Stia Outskirts | Seafound found in Stia. Increases HP/Increases PP recovery. Used to make Quick Food .
Rich Stia Hermit Crab | Found in Stia Outskirts | Seafound found in Stia. Increases HP/Reduces PP consumption. Used to make Quick Food .
Robust Stia Turban Shell | Found in Mediola Outer Area 2 | Seafound found in Stia. Increases HP/Increases HP recovery. Used to make Quick Food .
Notable Kvaris Squid | Found at the top of the streams of Central Kvaris and Rayjord Gorge at Night Drop from DOLLS Transport Heist Trials | A rare seafood found in Kvaris. Can be exchanged for items in certain places . The Quick Food effect is the same as Crisp Kvaris Squid. Used to make Quick Food .
Famous Stia Crab | Found only during Clear or Ash Rain weather conditions in Mediola Outer Area 2 | A rare seafood found in Stia. Can be exchanged for items in certain places . The Quick Food effect is the same as Rich Stia Hermit Crab. Used to make Quick Food .

== Vegetables ==
Rarity | Icon | Image | Name | Obtainment | Notes
Crisp Aelio Tomato | Found in West Aelio | A vegetable you can harvest in Aelio. Damage Resistance/Increases weak point damage. Used to make Quick Food .
Light Aelio Mushroom | Found in North Aelio | A vegetable you can harvest in Aelio. Damage Resistance/Increases PP recovery. Used to make Quick Food .
Rich Aelio Herb | Found in Central Aelio | A vegetable you can harvest in Aelio. Damage Resistance/Reduces PP consumption. Used to make Quick Food .
Robust Aelio Turnip | Found in South Aelio | A vegetable you can harvest in Aelio. Damage Resistance/Increases HP recovery. Used to make Quick Food .
Crisp Retem Mushroom | Found in South Retem Found in Rwh Maqead | A vegetable you can harvest in Retem. Damage Resistance/Increases weak point damage. Used to make Quick Food .
Light Retem Cranberries | Found in Central Retem | A vegetable you can harvest in Retem. Damage Resistance/Increases PP recovery. Used to make Quick Food .
Rich Retem Round Eggplant | Found in North Retem | A vegetable you can harvest in Retem. Damage Resistance/Reduces PP consumption. Used to make Quick Food .
Robust Retem Cauliflower | Found in West Retem | Fruit you can harvest in Retem. Damage Resistance/Increases HP recovery. Used to make Quick Food .
Crisp Kvaris Mushroom | Found in South Kvaris | A vegetable you can harvest in Kvaris. Damage Resistance/Increases weak point damage/Reduces Cold Damage. Used to make Quick Food .
Light Kvaris Cabbage | Found in North Kvaris | A vegetable you can harvest in Kvaris. Damage Resistance/Increases PP recovery/Reduces Cold Damage. Used to make Quick Food .
Rich Kvaris Carrot | Found in West Kvaris | A vegetable you can harvest in Kvaris. Damage Resistance/Reduces PP consumption/Reduces Cold Damage. Used to make Quick Food .
Robust Kvaris Onion | Found in Central Kvaris Found in Rayjord Gorge | A vegetable you can harvest in Kvaris. Damage Resistance/Increases HP recovery/Reduces Cold Damage. Used to make Quick Food .
Crisp Stia Cauliflower | Found in Mediola Outer Area 2 | A vegetable you can harvest in Stia. Damage Resistance/Increases weak point damage. Used to make Quick Food .
Light Stia Tomato | Found in Stia Outskirts | A vegetable you can harvest in Stia. Damage Resistance/Increases PP recovery. Used to make Quick Food .
Rich Stia Herb | Found in Mediola Outer Area 2 | A vegetable you can harvest in Stia. Damage Resistance/Reduces PP consumption. Used to make Quick Food .
Robust Stia Cabbage | Found in Stia Outskirts | A vegetable you can harvest in Stia. Damage Resistance/Increases HP recovery. Used to make Quick Food .
Famous Stia Mushroom | Found only during the night in Mediola Outer Area 1 | A rare vegetable found in Stia. Can be exchanged for items in certain places . The Quick Food effect is the same as Crisp Stia Cauliflower. Used to make Quick Food .
Anniversartichoke | Found in Aelio and Retem | A vegetable you can harvest in Aelio or Retem. Damage Resistance/Increases HP recovery. Only available during the NGS 1st Anniversary Event . Provides a 200% Region Mag material bonus during the NGS 1st Anniversary Event . Used to make Quick Food .
Autumn Vampkin | Found in Central Aelio, West Aelio, North Aelio, and South Aelio | A vegetable you can harvest in Aelio. Damage Resistance/Increases weak point damage. Only available during the Halloween Fiesta Event . Provides a 200% Region Mag material bonus during the Halloween Fiesta Event . Used to make Quick Food .
Winter Cozylion | Found in Aelio and Retem | A vegetable you can harvest in Aelio or Retem. Damage Resistance/Reduces PP consumption. Only available during the Winter Event . Provides a 200% Region Mag material bonus during the Winter Event . Used to make Quick Food .
