# Special Enemies — Variants and Unique Modifiers (Part 2)

Sections in this file: Rappy Enemies

== Rappy Enemies ==
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Rappy | All Exploration and Combat Sectors | N-Grinder Rappy Themed Build Parts | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back!
Anni Rappy | All Exploration and Combat Sectors | N-Grinder Dark Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the NGS 1st Anniversary Event , the PSO2 10th Anniversary Event and the NGS 3rd Anniversary Event .
Ceremo Rappy | Central Aelio North Aelio South Aelio West Aelio Mt. Magnus | N-Grinder Lightning Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the PSO2 9th Anniversary Event and the PSO2 10th Anniversary Event .
Hululu Rappy | All Exploration and Combat Sectors | N-Grinder Light Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Spring Event and the PSO2 10th Anniversary Event .
Moongaze Rappy | Central Aelio North Aelio South Aelio West Aelio Mt. Magnus | N-Grinder Ice Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Moon-Gazing Event and the PSO2 10th Anniversary Event .
Nord Rappy | All Exploration and Combat Sectors | N-Grinder Wind Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Winter Event and the PSO2 10th Anniversary Event .
Reaper Rappy | Central Aelio North Aelio South Aelio West Aelio Mt. Magnus | N-Grinder Fire Exploit I | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Halloween Fiesta Event and the PSO2 10th Anniversary Event .
Yaolo Rappy | All Exploration and Combat Sectors | N-Grinder | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Autumn Event .
Reindeer Rappy | All Exploration and Combat Sectors | N-Grinder | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the Christmas Event .
Snome Rappy | All Exploration and Combat Sectors | N-Grinder | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back! Only spawns during the New Year 24 Event and the Winter '24 Event .
Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] Rappy Themed Build Parts | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots.
