# Seasonal Points Exchange Shop and Point Exchange Rewards (Part 2)

Sections in this file: Exchange Shop Details (NGS 3rd Anniversary Event)

== Exchange Shop Details (NGS 3rd Anniversary Event) ==
This shop's selection was available during the NGS 3rd Anniversary Event .
Seasonal Points Exchange Shop (NGS 3rd Anniversary Event)
Rarity | Image | Name | Price | Quantity Limit | Notes
Anniversary SP Scratch Ticket x1 | 1,000 5,000 10,000 15,000 20,000 30,000 | 20 20 20 20 20 20 | This ticket allows you one attempt at the Anniversary SP Scratch.
BP: Easter Egg Object x1 | 15,000 | 1 | Build Parts for Creative Spaces. Usable once [Bind Build Parts] is enabled in the C-Space Menu.
BP: Carp Streamers x1 | 5,000 | 1 | Build Parts for Creative Spaces. Usable once [Bind Build Parts] is enabled in the C-Space Menu.
BP: May Festival Doll x1 | 5,000 | 1 | Build Parts for Creative Spaces. Usable once [Bind Build Parts] is enabled in the C-Space Menu.
PH: Super Origin Festival Poster (Ob) x1 | 5,000 | 1 | Allows all characters to use Portable Holograms.
PH: Multiple Squares (Ef) x1 | 5,000 | 1 | Build Parts for Creative Spaces. Usable once [Bind Build Parts] is enabled in the C-Space Menu.
PH: Central Star (Ef) x1 | 5,000 | 1 | Build Parts for Creative Spaces. Usable once [Bind Build Parts] is enabled in the C-Space Menu.
Dualomite Necklace x1 | 5,000 | 2 | Allows you to select a new accessory.
Fuwan Helm x1 | 5,000 | 2 | Allows you to select a new accessory.
Super Origin Festival Tote Bag x1 | 5,000 | 2 | Allows you to select a new accessory.
Circling Birds Effect x1 | 5,000 | 2 | Allows you to select a new accessory.
STP: Egg Rappy - Peek x1 | 10,000 | 1 | Allows all characters to use a new stamp.
MTN: Idle - Rappy Plush/C x1 | 15,000 | 1 | Allows all characters to use a new motion.
MTN: Idle - Sitting on a Box/B x1 | 15,000 | 1 | Allows all characters to use a new motion.
VG: Cryano Cliffs Level x1 | 15,000 | 1 | Allows all characters to use a new Vital Gauge.
VG: Belugana Ruins x1 | 15,000 | 1 | Allows all characters to use a new Vital Gauge.
VG: Kvaris Camp x1 | 15,000 | 1 | Allows all characters to use a new Vital Gauge.
VG: Rayjord Gorge x1 | 15,000 | 1 | Allows all characters to use a new Vital Gauge.
20 Star Gems x1 | 500 1000 | 5 5 | Grants Star Gems. Fulfill the requirements to receive 20 SG.
Special Scratch Ticket x1 | 500 1500 | 5 4 | This ticket allows you one attempt at the Bonus Scratch.
Aeoni Dekelion Sword +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
