# Innerwear — Undergarment Catalog (Part 1)

Sections in this file: List of NGS Innerwear (Type 1)

Fashion Directory
Full Setwear Totalwear Setwear Outerwear Basewear Innerwear Head Parts Body Parts Arm Parts Leg Parts Accessories Hairstyles Eyes Eyebrows Eyelashes Teeth Ears Horns Faces Makeup Body Paints Skin Patterns Portable Holograms Voices Motions Hand Poses Emotes Stickers Change to Simplified View | Full Setwear | Totalwear | Setwear | Outerwear | Basewear | Innerwear | Head Parts | Body Parts | Arm Parts | Leg Parts | Accessories | Hairstyles | Eyes | Eyebrows | Eyelashes | Teeth | Ears | Horns | Faces | Makeup | Body Paints | Skin Patterns | Portable Holograms | Voices | Motions | Hand Poses | Emotes | Stickers | Change to Simplified View
Full Setwear | Totalwear | Setwear | Outerwear | Basewear | Innerwear
Head Parts | Body Parts | Arm Parts | Leg Parts
Accessories
Hairstyles | Eyes | Eyebrows
Eyelashes | Teeth | Ears
Horns | Faces | Makeup
Body Paints | Skin Patterns
Portable Holograms
Voices | Motions | Hand Poses | Emotes | Stickers
Change to Simplified View

== List of NGS Innerwear (Type 1) ==
Preview | Name | Availability | Marketable | Implementation Date | Notes
Movas [In] | Default | 06/08/21
Aelio Wardat [In] | AC Scratch Tickets: Soldier Line AC Scratch Tickets: Rewind Collection | 06/09/21
Aelio Wardat/2 [In] | AC Scratch Tickets: Soldier Line | 06/09/21
N-Tank Top [In] | AC Scratch Tickets: Wedding Celebration AC Scratch Tickets: Rewind Collection | 06/22/21
N-Tank Top/2 [In] | AC Scratch Tickets: Wedding Celebration | 06/22/21
N-Ritual Clothes [In] | AC Scratch Tickets: Oracle Renewal Collection AC Scratch Tickets: Oracle Revival | 06/29/21
N-Ritual Clothes/2 [In] | AC Scratch Tickets: Oracle Renewal Collection | 06/29/21
N-Lustrous Prince [In] | AC Scratch Tickets: Sweet Summer AC Scratch Tickets: Rewind Collection 2 | 07/07/21
N-Lustrous Prince/2 [In] | AC Scratch Tickets: Sweet Summer | 07/07/21
Mates Quarter [In] | AC Scratch Tickets: Trainee Line AC Scratch Tickets: Rewind Collection 2 | 07/21/21
Mates Quarter/2 [In] | AC Scratch Tickets: Trainee Line | 07/21/21
N-Diabolic Terror [In] | AC Scratch Tickets: Oracle Renewal Collection II AC Scratch Tickets: Oracle Revival | 08/10/21
N-Diabolic Terror/2 [In] | AC Scratch Tickets: Oracle Renewal Collection II | 08/10/21
Juoh Body Wrap [In] | AC Scratch Tickets: Silhouette of Darkness AC Scratch Tickets: Rewind Collection 4 | 09/14/21
Juoh Body Wrap/2 [In] | AC Scratch Tickets: Silhouette of Darkness | 09/14/21
N-Risty Boynes [In] | AC Scratch Tickets: Oracle Renewal Collection III AC Scratch Tickets: Oracle Revival | 09/28/21
N-Risty Boynes/2 [In] | AC Scratch Tickets: Oracle Renewal Collection III | 09/28/21
N-Boxers [In] | AC Scratch Tickets: Oracle Renewal Collection IV AC Scratch Tickets: Oracle Revival | 10/20/21
N-Boxers/2 [In] | AC Scratch Tickets: Oracle Renewal Collection IV | 10/20/21
N-Monumental Agent [In] | AC Scratch Tickets: Oracle Renewal Collection V AC Scratch Tickets: Oracle Revival | 12/01/21
N-Monumental Agent/2 [In] | AC Scratch Tickets: Oracle Renewal Collection V | 12/01/21
Retem Wardat [In] | SG Scratch Tickets: Resolute Warrior SG Scratch Tickets: Diva of the Desert SG Scratch Tickets: Refined Form SG Scratch Tickets: Refined Form 2 SG Scratch Tickets: Refined Form 3 SG Scratch Tickets: Refined Form 4 SG Scratch Tickets: Halpha ARKS Revival SG Scratch Tickets: Halpha ARKS Revival 2 | 01/19/22
Retem Wardat/2 [In] | SG Scratch Tickets: Resolute Warrior SG Scratch Tickets: Diva of the Desert SG Scratch Tickets: Refined Form SG Scratch Tickets: Refined Form 2 SG Scratch Tickets: Refined Form 3 SG Scratch Tickets: Refined Form 4 SG Scratch Tickets: Halpha ARKS Revival SG Scratch Tickets: Halpha ARKS Revival 2 | 01/19/22
Labors Factora [In] | AC Scratch Tickets: Original Creations C | 07/20/22
Labors Factora/B [In] | AC Scratch Tickets: Original Creations C | 07/20/22
Ominous Crow [In] | AC Scratch Tickets: Moonlight Sanctuary '22 | 09/07/22
