# NPC Ronaldine — Profile, Role and Services (Part 3)

== Ronaldine's Tasks (Limited-Time) ==
=== February 22nd, 2022 to April 12th, 2022 ===
Ronaldine's Tasks (February 22nd, 2022 to April 12th, 2022)
Task Name | Objectives | Rewards | Description
Aelio Relentless Training 1-I | Defeat enemies at the lab ruins (Rank 3 or higher) (0/500) Defeat enemies in Resol Forest (Rank 2 or higher) (0/500) | N-EX-Cube x2 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience.
Aelio Relentless Training 1-II | Defeat enemies at Mt. Magnus (Rank 3 or higher) (0/500) Defeat Pettax Axes (Lv. 35 or Greater) (0/30) Defeat Gara Garongos (Lv. 35 or Greater) (0/30) | Strugment A x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [117] ] Recommended Sector: Mt. Magnus (Rank 3 or higher)
Aelio Relentless Training 1-III | Defeat Pettax Swords (Lv. 35 or Greater) (0/30) Defeat Pettax Guns (Lv. 35 or Greater) (0/30) Defeat Gororoxs (Lv. 35 or Greater) (0/30) | Strugment B x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [118] ] Recommended Sector: Resol Forest (Rank 3 or higher)
Aelio Relentless Training 1-IV | Defeat rare enemies (Lv. 35 or Greater) (0/50) Defeat Enhanced Enemies (Lv. 35 or Greater) (0/30) Defeat Megalotix (0/30) | Strugment C x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience.
Aelio Relentless Training 1-V | Defeat Daityl Swords (Lv. 35 or Greater) (0/5) Defeat Bujins (Lv. 35 or Greater) (0/5) Defeat Bigg Froggas (Lv. 35 or Greater) (0/5) | Silver Primm Armor +20 x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [119] ] Recommended Sector: Vanford Laboratory Ruins (Rank 3 or higher)
Aelio Relentless Training 1-VI | Defeat Daityl Axe (Lv. 35 or Greater) (0/5) Defeat Varas (Lv. 35 or Greater) (0/5) Defeat Thunder Bansers (Lv. 35 or Greater) (0/5) | SG 50 Ticket x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [120] ] Recommended Sector: Resol Forest (Rank 3 or higher)
Aelio Relentless Training 2-I | Defeat enemies at Mt. Magnus (Rank 3 or higher) (0/750) Defeat enemies in Resol Forest (Rank 2 or higher) (0/750) | Photon Scale x15 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience.
Aelio Relentless Training 2-II | Defeat enemies at the lab ruins (Rank 3 or higher) (0/750) Defeat Pettax Launchers (Lv.35 or Greater) (0/50) Defeat Banehogs (Lv.35 or Greater) (0/50) | Monotite x40 Dualomite x40 Trinite x40 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [121] ] Recommended Sector: Vanford Laboratory Ruins (Rank 3 or higher)
Aelio Relentless Training 2-III | Defeat Lizard Frays (Lv.35 or Greater) (0/50) Defeat Herucs (Lv.35 or Greater) (0/50) Defeat Pettas Axes (Lv.35 or Greater) (0/50) | Photon Chunk x40 Photon Quartz x40 Tetracite x40 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [122] ] Recommended Sector: Mt. Magnus (Rank 3 or higher)
Aelio Relentless Training 2-IV | Defeat rare enemies (Lv.35 or Greater) (0/100) Defeat Enhanced Enemies (Lv.35 or Greater) (0/50) Defeat Megalotix (0/50) | C/Megas Fusia x10 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience.
Aelio Relentless Training 2-V | Defeat Nex Aelios (Lv.35 or Greater) (0/10) Defeat Varas (Lv.35 or Greater) (0/10) Defeat Eldi Scythes (Lv.35 or Greater) (0/10) | N-EX-Cube x3 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [123] ] Recommended Sector: Resol Forest (Rank 3 or higher)
Aelio Relentless Training 2-VI | Defeat Nogleths (Lv.35 or Greater) (0/10) Defeat Ard Banshees (Lv.35 or Greater) (0/10) Defeat Waulons (Lv.35 or Greater) (0/10) | Silver Primm Sword +20 x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [124] ] Recommended Sector: Mt. Magnus (Rank 3 or higher)
Aelio Relentless Training 2-VII | Defeat a Malevolent Nogleth (0/1) Defeat a Malevolent Varas (0/1) | SG 50 Ticket x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing Gigantix in order to gain some experience.
Aelio Relentless Training 3-I | Defeat enemies at Mt. Magnus (Rank 3 or higher) (0/1000) Defeat enemies at the lab ruins (Rank 3 or higher) (0/1000) | C/Ret Note A x5 C/Ret Note B x5 C/Ael Note C x5 C/Ael Note D x5 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience.
Aelio Relentless Training 3-II | Defeat enemies in Resol Forest (Rank 2 or higher) (0/1000) Defeat Gororons (Lv.35 or Greater) (0/100) Defeat Dotts (Lv.35 or Greater) (0/100) | B-Trigger/Ret Purple x5 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [125] ] Recommended Sector: Resol Forest (Rank 3 or higher)
