# Player Status — Stats, ATK, DEF and Attribute Breakdown (Part 2)

== Stats by Class ==
Hunter
Lv | HP | Attack | Defense | BP
1 | 300 | 450 | 304 | 602
2 | 303 | 459 | 309 | 613.5
3 | 306 | 467 | 313 | 623.5
4 | 309 | 476 | 318 | 635
5 | 312 | 486 | 323 | 647.5
6 | 315 | 495 | 328 | 659
7 | 318 | 505 | 333 | 671.5
8 | 321 | 514 | 338 | 683
9 | 324 | 524 | 343 | 695.5
10 | 328 | 534 | 349 | 708.5
11 | 331 | 545 | 354 | 722
12 | 334 | 555 | 359 | 734.5
13 | 337 | 566 | 365 | 748.5
14 | 341 | 577 | 370 | 762
15 | 344 | 588 | 376 | 776
16 | 347 | 599 | 382 | 790
17 | 351 | 610 | 388 | 804
18 | 354 | 622 | 394 | 819
19 | 358 | 634 | 400 | 834
20 | 361 | 646 | 406 | 849
21 | 365 | 659 | 412 | 865
22 | 368 | 672 | 418 | 881
23 | 372 | 684 | 425 | 896.5
24 | 375 | 698 | 431 | 913.5
25 | 379 | 711 | 438 | 930
26 | 383 | 725 | 445 | 947.5
27 | 387 | 739 | 452 | 965
28 | 390 | 753 | 459 | 982.5
29 | 394 | 767 | 466 | 1000
30 | 398 | 782 | 473 | 1018.5
31 | 402 | 797 | 480 | 1037
32 | 406 | 813 | 487 | 1056.5
33 | 410 | 828 | 495 | 1075.5
34 | 414 | 844 | 503 | 1095.5
35 | 418 | 860 | 510 | 1115
36 | 422 | 877 | 518 | 1136
37 | 426 | 894 | 526 | 1157
38 | 430 | 911 | 534 | 1178
39 | 435 | 929 | 542 | 1200
40 | 439 | 946 | 551 | 1221.5
41 | 443 | 965 | 559 | 1244.5
42 | 448 | 983 | 568 | 1267
43 | 452 | 1002 | 577 | 1290.5
44 | 456 | 1021 | 586 | 1314
45 | 461 | 1041 | 595 | 1338.5
46 | 465 | 1061 | 604 | 1363
47 | 470 | 1081 | 613 | 1387.5
48 | 475 | 1102 | 622 | 1413
49 | 479 | 1124 | 632 | 1440
50 | 484 | 1145 | 642 | 1466
51 | 489 | 1167 | 652 | 1493
52 | 493 | 1190 | 662 | 1521
53 | 498 | 1213 | 672 | 1549
54 | 503 | 1236 | 682 | 1577
55 | 508 | 1260 | 693 | 1606.5
56 | 513 | 1284 | 703 | 1635.5
57 | 518 | 1309 | 714 | 1666
58 | 523 | 1334 | 725 | 1696.5
59 | 528 | 1359 | 737 | 1727.5
60 | 534 | 1386 | 748 | 1760
61 | 539 | 1412 | 759 | 1791.5
62 | 544 | 1439 | 771 | 1824.5
63 | 549 | 1467 | 783 | 1858.5
64 | 555 | 1495 | 795 | 1892.5
65 | 560 | 1524 | 807 | 1927.5
66 | 566 | 1554 | 820 | 1964
67 | 571 | 1583 | 833 | 1999.5
68 | 577 | 1614 | 845 | 2036.5
69 | 582 | 1645 | 858 | 2074
70 | 588 | 1677 | 872 | 2113
71 | 594 | 1709 | 885 | 2151.5
72 | 600 | 1742 | 899 | 2191.5
73 | 606 | 1775 | 913 | 2231.5
74 | 612 | 1809 | 927 | 2272.5
75 | 618 | 1844 | 941 | 2314.5
76 | 623 | 1850 | 944 | 2322
77 | 628 | 1856 | 947 | 2329.5
78 | 633 | 1862 | 950 | 2337
79 | 638 | 1868 | 953 | 2344.5
80 | 643 | 1874 | 956 | 2352
81 | 648 | 1880 | 959 | 2359.5
82 | 653 | 1886 | 962 | 2367
83 | 658 | 1892 | 965 | 2374.5
84 | 663 | 1898 | 968 | 2382
85 | 668 | 1904 | 971 | 2389.5
86 | 673 | 1910 | 974 | 2397
87 | 678 | 1916 | 977 | 2404.5
88 | 683 | 1922 | 980 | 2412
89 | 688 | 1928 | 983 | 2419.5
90 | 693 | 1934 | 986 | 2427
91 | 698 | 1940 | 989 | 2434.5
92 | 703 | 1946 | 992 | 2442
93 | 708 | 1952 | 995 | 2449.5
94 | 713 | 1958 | 998 | 2457
95 | 718 | 1964 | 1001 | 2464.5
96 | 723 | 1970 | 1004 | 2472
97 | 728 | 1976 | 1007 | 2479.5
98 | 733 | 1982 | 1010 | 2487
99 | 738 | 1988 | 1013 | 2494.5
100 | 743 | 1994 | 1016 | 2502
101 | 748 | 2000 | 1019 | 2509.5
102 | 753 | 2006 | 1022 | 2517
103 | 758 | 2012 | 1025 | 2524.5
104 | 763 | 2018 | 1028 | 2532
105 | 768 | 2024 | 1031 | 2539.5
106 | 773 | 2030 | 1034 | 2547
107 | 778 | 2036 | 1037 | 2554.5
108 | 783 | 2042 | 1040 | 2562
109 | 788 | 2048 | 1043 | 2569.5
110 | 793 | 2054 | 1046 | 2577
111 | 798 | 2060 | 1049 | 2584.5
112 | 803 | 2066 | 1052 | 2592
113 | 808 | 2072 | 1055 | 2599.5
114 | 813 | 2078 | 1058 | 2607
115 | 818 | 2084 | 1061 | 2614.5
Lv | HP | Attack | Defense | BP
Fighter
Lv | HP | Attack | Defense | BP
1 | 280 | 454 | 301 | 604.5
2 | 283 | 463 | 306 | 616
3 | 286 | 471 | 310 | 626
4 | 288 | 480 | 315 | 637.5
5 | 291 | 490 | 320 | 650
6 | 294 | 499 | 325 | 661.5
7 | 297 | 509 | 330 | 674
8 | 300 | 518 | 335 | 685.5
9 | 303 | 528 | 340 | 698
10 | 306 | 538 | 346 | 711
11 | 309 | 549 | 351 | 724.5
12 | 312 | 559 | 356 | 737
13 | 315 | 570 | 362 | 751
14 | 318 | 581 | 367 | 764.5
15 | 321 | 592 | 373 | 778.5
16 | 324 | 603 | 379 | 792.5
17 | 327 | 614 | 385 | 806.5
18 | 331 | 626 | 391 | 821.5
19 | 334 | 638 | 397 | 836.5
20 | 337 | 650 | 403 | 851.5
21 | 340 | 663 | 409 | 867.5
22 | 344 | 676 | 415 | 883.5
23 | 347 | 688 | 422 | 899
24 | 350 | 702 | 428 | 916
25 | 354 | 715 | 435 | 932.5
26 | 357 | 729 | 442 | 950
27 | 361 | 743 | 449 | 967.5
28 | 364 | 757 | 456 | 985
29 | 368 | 771 | 463 | 1002.5
30 | 372 | 786 | 470 | 1021
31 | 375 | 801 | 477 | 1039.5
32 | 379 | 817 | 484 | 1059
33 | 383 | 832 | 492 | 1078
34 | 386 | 848 | 500 | 1098
35 | 390 | 864 | 507 | 1117.5
36 | 394 | 881 | 515 | 1138.5
37 | 398 | 898 | 523 | 1159.5
38 | 402 | 915 | 531 | 1180.5
39 | 406 | 933 | 539 | 1202.5
40 | 410 | 950 | 548 | 1224
41 | 414 | 969 | 556 | 1247
42 | 418 | 987 | 565 | 1269.5
43 | 422 | 1006 | 574 | 1293
44 | 426 | 1025 | 583 | 1316.5
45 | 430 | 1045 | 592 | 1341
46 | 434 | 1065 | 601 | 1365.5
47 | 439 | 1085 | 610 | 1390
48 | 443 | 1106 | 619 | 1415.5
49 | 447 | 1128 | 629 | 1442.5
50 | 452 | 1149 | 639 | 1468.5
51 | 456 | 1171 | 649 | 1495.5
52 | 461 | 1194 | 659 | 1523.5
53 | 465 | 1217 | 669 | 1551.5
54 | 470 | 1240 | 679 | 1579.5
55 | 474 | 1264 | 690 | 1609
56 | 479 | 1288 | 700 | 1638
57 | 484 | 1313 | 711 | 1668.5
58 | 488 | 1338 | 722 | 1699
59 | 493 | 1363 | 734 | 1730
60 | 498 | 1390 | 745 | 1762.5
61 | 503 | 1416 | 756 | 1794
62 | 508 | 1443 | 768 | 1827
63 | 513 | 1471 | 780 | 1861
64 | 518 | 1499 | 792 | 1895
65 | 523 | 1528 | 804 | 1930
66 | 528 | 1558 | 817 | 1966.5
67 | 533 | 1587 | 830 | 2002
68 | 538 | 1618 | 842 | 2039
69 | 544 | 1649 | 855 | 2076.5
70 | 549 | 1681 | 869 | 2115.5
71 | 554 | 1713 | 882 | 2154
72 | 560 | 1746 | 896 | 2194
73 | 565 | 1779 | 910 | 2234
74 | 571 | 1813 | 924 | 2275
75 | 576 | 1848 | 938 | 2317
76 | 581 | 1854 | 941 | 2324.5
77 | 586 | 1860 | 944 | 2332
78 | 591 | 1866 | 947 | 2339.5
79 | 596 | 1872 | 950 | 2347
80 | 601 | 1878 | 953 | 2354.5
81 | 606 | 1884 | 956 | 2362
82 | 611 | 1890 | 959 | 2369.5
83 | 616 | 1896 | 962 | 2377
84 | 621 | 1902 | 965 | 2384.5
85 | 626 | 1908 | 968 | 2392
86 | 631 | 1914 | 971 | 2399.5
87 | 636 | 1920 | 974 | 2407
88 | 641 | 1926 | 977 | 2414.5
89 | 646 | 1932 | 980 | 2422
90 | 651 | 1938 | 983 | 2429.5
91 | 656 | 1944 | 986 | 2437
92 | 661 | 1950 | 989 | 2444.5
93 | 666 | 1956 | 992 | 2452
94 | 671 | 1962 | 995 | 2459.5
95 | 676 | 1968 | 998 | 2467
96 | 681 | 1974 | 1001 | 2474.5
97 | 686 | 1980 | 1004 | 2482
98 | 691 | 1986 | 1007 | 2489.5
99 | 696 | 1992 | 1010 | 2497
