# Line Strike Play Mats Cosmetics

Line Strike
Card List | Sleeves | Mats

== List of Line Strike Playmats ==
Preview | Name | Availability | Marketable | Implementation Date | Notes
MA: Basic A | Default | 07/10/24
MA: Basic B | Default | 07/10/24
MA: Element: Fire | Default | 07/10/24
MA: Element: Ice | Default | 07/10/24
MA: Element: Wind | Default | 07/10/24
MA: Element: Lightning | Default | 07/10/24
MA: Element: Light | Default | 07/10/24
MA: Element: Dark | Default | 07/10/24
MA: Fancy Rappy | Recycle Line Strike Cards | 07/10/24
MA: Lillipan | Recycle Line Strike Cards | 07/10/24
MA: Aina & Manon | Recycle Line Strike Cards | 07/10/24
MA: Cuddly DOLLS | Recycle Line Strike Cards | 07/10/24
MA: Super Origin Festival | LS: Standard Deck - Light & Dark | 07/10/24
MA: Aina & Manon - CD Jacket | Recycle Line Strike Cards | 09/18/24
MA: Glen & Kanui | Recycle Line Strike Cards | 09/18/24
MA: [PSO2es] Season 1 Key Visual | Recycle Line Strike Cards | 12/04/24
MA: [PSO2es] Season 3 Key Visual | Recycle Line Strike Cards | 12/04/24
MA: M.A.R.S. | LS: Standard Deck - Multi-Element Mix | 12/04/24
MA: Melty Blood - Key Visual A | AC Scratch Tickets: Melty Blood Style '24 | 12/04/24
MA: Melty Blood - Key Visual B | AC Scratch Tickets: Melty Blood Style '24 | 12/04/24
MA: A Certain Magical Index x NGS | AC Scratch Tickets: Melty Blood Style '24 | 02/05/24
MA: CENTRAL! | CENTRAL! Collection 3! Item Code | 02/26/25
MA: A Certain Magical Index | AC Scratch Tickets: Melty Blood Style '24 | 02/05/24
MA: Phantasy Star | Recycle Line Strike Cards | 04/02/25
MA: PSO - Hunters | Recycle Line Strike Cards | 04/02/25
MA: PSO - CD Jacket | Recycle Line Strike Cards | 04/02/25
MA: PSOBB - Main Visual A | Recycle Line Strike Cards | 04/02/25
MA: PSOBB - Main Visual B | Recycle Line Strike Cards | 04/02/25
MA: Super Genesis Festival '24 | LS: Standard Deck - Lightning & Dark | 04/02/25
MA: NGS x Ten-Sura | AC Scratch Tickets: Ten-Sura Style | 05/21/25
MA: Sonic x Shadow G | AC Scratch Tickets: Sonic Style Heroines | 06/04/25
MA: PSU - Ambition of the Illuminus | Recycle Line Strike Cards | 06/04/25
MA: PSU - Unification Point | Recycle Line Strike Cards | 06/04/25
MA: Lumia & Emilia - Christmas | Recycle Line Strike Cards | 06/04/25
MA: PSPo2 - Shizuru | Recycle Line Strike Cards | 06/04/25
MA: Lumitea & Velretta | AC Scratch Tickets: Arcanadea Style | 07/02/25
MA: Yukumo & Soffiera | AC Scratch Tickets: Arcanadea Style | 07/02/25
MA: Legend of Disaster | Recycle Line Strike Cards | 08/06/25
MA: Uly & Stella | Recycle Line Strike Cards | 08/06/25
MA: Aries Awakening | Recycle Line Strike Cards | 08/06/25
MA: The Embodiment of Scarlet Devil | AC Scratch Tickets: Touhou Project Style | 08/06/25
MA: Atelier Yumia - Key Visual | AC Scratch Tickets: Atelier Yumia Style | 09/02/25
MA: Weaponoids | AC Scratch Tickets: PSO2es Weaponoid Style | 01/14/26
MA: BUI TOHRU "GAIFU KAISEI" | AC Scratch Tickets: Hexa Gear & Megami Device Style | 02/03/26
MA: AUV AMATERASU REGALIA & ECLIPSE | AC Scratch Tickets: Hexa Gear & Megami Device Style | 02/03/26
MA: PUNI☆MOFU MAO & TU | AC Scratch Tickets: Hexa Gear & Megami Device Style | 02/03/26
MA: Weaponoids B | AC Scratch Tickets: PSO2es Weaponoid Style Apr | 04/21/26
